cycle,material_id
0,mp-1244935
0,mp-1203190
0,mp-542833
0,mp-1178326
0,mp-1180022
0,mp-1185637
0,mp-626267
0,mp-557351
0,mp-1207561
0,mp-1175390
0,mp-759373
0,mp-851075
0,mp-765586
0,mp-1176815
0,mp-1199385
0,mp-671855
0,mp-26066
0,mp-1237181
0,mp-1221657
0,mp-1197586
0,mp-1014318
0,mp-1178549
0,mp-685441
0,mp-1179593
0,mp-1177674
0,mp-728514
0,mp-1221786
0,mp-1213466
0,mp-1244955
0,mp-773031
0,mp-850218
0,mp-667324
0,mp-27968
0,mp-1196391
0,mp-1175492
0,mp-3731
0,mp-625687
0,mp-625501
0,mp-625391
0,mp-1208498
0,mp-29651
0,mp-27275
0,mp-680432
0,mp-566534
0,mp-559636
0,mp-1222372
0,mp-1209695
0,mp-4769
0,mp-1245318
0,mp-770628
0,mp-567526
0,mp-690161
0,mp-690546
0,mp-1203068
0,mp-1245228
0,mp-1199872
0,mp-1205022
0,mp-769450
0,mp-1211507
0,mp-1201738
0,mp-782035
0,mp-1100482
0,mp-1006593
0,mp-28294
0,mp-1245116
0,mp-563
0,mp-1214980
0,mp-849241
0,mp-1245032
0,mp-30407
0,mp-765632
0,mp-1174377
0,mp-1176936
0,mp-642216
0,mp-1177528
0,mp-752936
0,mp-581855
0,mp-560196
0,mp-849718
0,mp-770533
0,mp-573651
0,mp-2852
0,mp-1173610
0,mp-1204691
0,mp-1249637
0,mp-1225780
0,mp-766823
0,mp-1100483
0,mp-757483
0,mp-757911
0,mp-1195315
0,mp-683987
0,mp-704325
0,mp-1203808
0,mp-675075
0,mp-867658
0,mp-23274
0,mp-781016
0,mp-757603
0,mp-1015780
0,mp-639512
0,mp-5680
0,mp-2739250
0,mp-776036
0,mp-530050
0,mp-1246818
0,mp-760009
0,mp-32667
0,mp-1175497
0,mp-674504
0,mp-1229228
0,mp-1227691
0,mp-774217
0,mp-684860
0,mp-684923
0,mp-1245308
0,mp-685318
0,mp-1177252
0,mp-582240
0,mp-680413
0,mp-863417
0,mp-653758
0,mp-1182530
0,mp-1185196
0,mp-757201
0,mp-1181135
0,mp-530048
0,mp-1178259
0,mp-2931
0,mp-1227984
0,mp-531223
0,mp-1195558
0,mp-1045893
0,mp-1175529
0,mp-685375
0,mp-569273
0,mp-1100486
0,mp-771244
0,mp-686109
0,mp-1100490
0,mp-861324
0,mp-1204834
0,mp-1003636
0,mp-626295
0,mp-600083
0,mp-1176383
0,mp-559996
0,mp-3151
0,mp-574275
0,mp-1174554
0,mp-569364
0,mp-1202279
0,mp-1203930
0,mp-771322
0,mp-29386
0,mp-768472
0,mp-625154
0,mp-715035
0,mp-1203703
0,mp-758647
0,mp-530102
0,mp-685863
0,mp-761117
0,mp-1200125
0,mp-759713
0,mp-1106346
0,mp-1100497
0,mp-694318
0,mp-556724
0,mp-1244997
0,mp-760021
0,mp-683971
0,mp-1287673
0,mp-781624
0,mp-727023
0,mp-565700
0,mp-26314
0,mp-686160
0,mp-680202
0,mp-1201561
0,mp-30751
0,mp-1182247
0,mp-1221709
0,mp-556335
0,mp-686121
0,mp-1245119
0,mp-684887
0,mp-1246405
0,mp-9209
0,mp-685459
0,mp-757367
0,mp-1338829
0,mp-558226
0,mp-729904
0,mp-1244909
0,mp-1246536
0,mp-1020024
0,mp-1220773
0,mp-1197365
0,mp-604337
0,mp-2713792
0,mp-680222
0,mp-698647
0,mp-28349
0,mp-30213
0,mp-769295
0,mp-757087
0,mp-1186271
0,mp-556436
0,mp-23423
0,mp-1174439
0,mp-28092
0,mp-676894
0,mp-531600
0,mp-780654
0,mp-1185641
0,mp-675030
0,mp-1194942
0,mp-770641
0,mp-774507
0,mp-760821
0,mp-1174212
0,mp-759389
0,mp-1196893
0,mp-767002
0,mp-649833
0,mp-1175459
0,mp-33335
0,mp-766653
0,mp-685431
0,mp-685036
