cycle,material_id
0,mp-1177674
0,mp-22401
0,mp-1205201
0,mp-757900
0,mp-561090
0,mp-1247698
0,mp-1209638
0,mp-1209625
0,mp-1209545
0,mp-1237642
0,mp-772022
0,mp-779024
0,mp-530945
0,mp-532094
0,mp-554402
0,mp-1197194
0,mp-28025
0,mp-1196391
0,mp-936302
0,mp-680259
0,mp-766359
0,mp-1244977
0,mp-1245296
0,mp-705409
0,mp-5182
0,mp-530670
0,mp-1247922
0,mp-675571
0,mp-759086
0,mp-1173357
0,mp-644802
0,mp-540894
0,mp-1198538
0,mp-1338404
0,mp-905
0,mp-1200311
0,mp-1195412
0,mp-685184
0,mp-1216517
0,mp-554873
0,mp-764537
0,mp-758739
0,mp-1266421
0,mp-1244963
0,mp-569462
0,mp-1049304
0,mp-1202817
0,mp-772063
0,mp-557757
0,mp-1200130
0,mp-1042545
0,mp-1209397
0,mp-773031
0,mp-685308
0,mp-1120736
0,mp-518
0,mp-1245220
0,mp-1195383
0,mp-1200382
0,mp-530846
0,mp-667368
0,mp-759085
0,mp-626279
0,mp-1196536
0,mp-567586
0,mp-16461
0,mp-1334909
0,mp-17438
0,mp-1213387
0,mp-1195877
0,mp-706630
0,mp-776099
0,mp-1245119
0,mp-26500
0,mp-768472
0,mp-1224515
0,mp-757587
0,mp-1173619
0,mp-1245321
0,mp-1205091
0,mp-780409
0,mp-775315
0,mp-705034
0,mp-1244994
0,mp-766332
0,mp-627334
0,mp-571165
0,mp-554423
0,mp-653554
0,mp-1196803
0,mp-600067
0,mp-640353
0,mp-1202754
0,mp-23256
0,mp-1173426
0,mp-776224
0,mp-32689
0,mp-772147
0,mp-1202823
0,mp-1177621
0,mp-567701
0,mp-1244897
0,mp-1244887
0,mp-1211594
0,mp-555948
0,mp-891956
0,mp-752711
0,mp-569849
0,mp-31499
0,mp-530875
0,mp-1173416
0,mp-1246137
0,mp-1244947
0,mp-1203033
0,mp-569826
0,mp-1176824
0,mp-1196036
0,mp-1195034
0,mp-781622
0,mp-760783
0,mp-1245182
0,mp-1244876
0,mp-1245083
0,mp-1244978
0,mp-676668
0,mp-1244941
0,mp-1245070
0,mp-31033
0,mp-1204440
0,mp-772180
0,mp-1245099
0,mp-1245044
0,mp-27209
0,mp-849991
0,mp-542300
0,mp-1245318
0,mp-686019
0,mp-530274
0,mp-1244905
0,mp-30198
0,mp-765640
0,mp-1173540
0,mp-1100939
0,mp-600024
0,mp-530141
0,mp-779727
0,mp-27732
0,mp-1217676
0,mp-683965
0,mp-766131
0,mp-30105
0,mp-1194272
0,mp-1245157
0,mp-1245063
0,mp-780425
0,mp-1256614
0,mp-647814
0,mp-555589
0,mp-676727
0,mp-1215126
0,mp-685320
0,mp-1196981
0,mp-15761
0,mp-570193
0,mp-675363
0,mp-1213625
0,mp-1209235
0,mp-1244892
0,mp-1020142
0,mp-1244898
0,mp-574070
0,mp-532156
0,mp-28005
0,mp-728122
0,mp-28207
0,mp-1227622
0,mp-680463
0,mp-656852
0,mp-680512
0,mp-727413
0,mp-1020058
0,mp-1179303
0,mp-676074
0,mp-1196316
0,mp-626293
0,mp-760031
0,mp-780844
0,mp-773028
0,mp-741677
0,mp-27212
0,mp-1205180
0,mp-1196526
0,mp-1198474
0,mp-1209290
0,mp-705435
0,mp-26194
0,mp-1185594
0,mp-567900
0,mp-642322
0,mp-1245067
0,mp-554113
0,mp-1204859
0,mp-569425
0,mp-1042672
0,mp-1183036
0,mp-1366075
0,mp-1208493
0,mp-1220975
0,mp-1080628
0,mp-1197236
0,mp-795607
0,mp-1245116
0,mp-680413
0,mp-572805
0,mp-1224622
0,mp-683944
0,mp-1197378
0,mp-1195719
0,mp-1215110
0,mp-1201455
0,mp-1173831
0,mp-1225850
0,mp-530379
0,mp-530146
0,mp-29759
0,mp-1204219
0,mp-30863
0,mp-1244996
0,mp-15379
0,mp-568556
0,mp-774530
0,mp-1244929
0,mp-1245179
0,mp-568335
0,mp-1888
0,mp-30809
0,mp-685290
0,mp-1204272
0,mp-1245270
0,mp-1213341
0,mp-774100
0,mp-674972
0,mp-698762
0,mp-1195122
0,mp-647169
0,mp-1198512
0,mp-629082
0,mp-1204691
0,mp-1199827
0,mp-684800
